Kanji;Translation
口 ;MouthMouth / Opening
囗 ;Enclosure
水 or 氵;Water
木 ;Tree
人 or 亻;Person
手 or 扌 ;Hand
忄 Or ⺗ OR 心 ;Heart (Spirit, Mind)
言 ;Say, Word, to Speak
日 ;Sun or Day
糸 ;Thread, Yarn, String, 0.001%
幺 ;Small or Tiny
肉 ;Meat, Organ, Flesh
月 ;Moon or Month
土 ;Ground, Earth, Soil
辶 and 辶 ;Go, Road, Walk, To advance
艹 and 艸 ;Grass / Plant
宀 ;Roof / Crown
貝 ;Shell / Property / Wealth
女 ;Woman
阝 ;Hill or Hill (on the left side) / Village or City (on the right side)
金 ;Gold / Metal / Mineral
一 ;One
刀, 刂, and 刁 ;Sword
力 ;Power, Strength, Ability
十 ;Ten
田 ;Rice Field
火 or 灬 ;Fire
大 ;Big, Large
山 ;Mountain
食 or 飠 ;Eat, Food
車 ;Car or Vehicle
彳 ;Small step, Walking Slowly, Walk a little, Stride
目 or 罒 ;Eye
雨 ;Rain
犬 and 犭 ;Dog
王 ;King
玉 ;Jade, Jewel, or Ball
石 ;Stone
弓 ;Strength, Ability, Pull, Stretch, Attract
衣 and 衤 ;Clothes, Robe, Gown
竹 and ⺮ ;Bamboo
又 ;Again, Also (Mata)
攴 and 攵 ;Strike (U-tsu)
夂 ;Winter (Fuyu)
示 or 礻;Show, Display, Indicate (Shime-su)
酉 ;1. Bird (Tori) 2. Alcohol (Sake)
禾 ;Grain
广 ;Dotted cliff
疒 ;Sickness
巾 ;Towel, Cloth, Width
尸 ;Corpse, Remains Flag
寸 ;Brief, Small, Measurement
